continent,country,iso,total_deaths,total_affected,total_damages,total_occurrences,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized,gni_per_capita,bins
Africa,"Tanzania, United Republic of",TZA,10476,16873999,467790,117,1042.838745,12000,0.213092987,56313444,Tanzania,Tanzania,Tanzania,1030,Lower-Middle Income
Africa,Togo,TGO,1199,1226845,700,29,901.5230169,2309.999943,0.292809244,7889095,Togo,Togo,Togo,880,Low-Income
Africa,Tunisia,TUN,998,663667,476800,27,3690.896932,29889.99939,2.584476847,11565203,Tunisia,Tunisia,Tunisia,3760,Lower-Middle Income
Africa,Uganda,UGA,5590,7491296,80171,106,770.6007843,5860.000134,0.137143292,42729032,Uganda,Uganda,Uganda,750,Low-Income
Africa,Zambia,ZMB,1423,13153950,20900,52,1516.368371,7730.000019,0.445489133,17351714,Zambia,Zambia,Zambia,1440,Lower-Middle Income
Africa,Zimbabwe,ZWE,7604,27553177,1037700,54,1254.642265,12380.00011,0.857411269,14438812,Zimbabwe,Zimbabwe,Zimbabwe,1350,Lower-Middle Income
Americas,Antigua and Barbuda,ATG,13,127314,793600,13,16679.59166,509.9999905,5.296940139,96282,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,15880,High-Income
Americas,Argentina,ARG,1646,15177074,15727410,123,11795.15939,176899.9939,3.975771971,44494502,Argentina,Argentina,Argentina,12430,High-Income
Americas,Bahamas (the),BHS,414,56053,6745100,24,33077.39183,2799.999952,7.260751623,385635,"Bahamas, The","Bahamas, The",Bahamas,31070,High-Income
Americas,Barbados,BRB,62,14228,107200,13,17782.87473,1240.00001,4.325983846,286640,Barbados,Barbados,Barbados,16610,High-Income
Americas,Belize,BLZ,360,396525,632004,21,4927.194224,629.9999952,1.644603729,383071,Belize,Belize,Belize,4560,Upper-Middle Income
Americas,Bermuda,BMU,4,40,353500,5,113050.7369,,,63918,Bermuda,Bermuda,Bermuda,117000,High-Income
Americas,Bolivia (Plurinational State of),BOL,2392,9781967,3787718,106,3548.59078,23229.99954,2.046129929,11353140,Bolivia,Bolivia,Bolivia,3370,Lower-Middle Income
Americas,Brazil,BRA,13350,117369425,30472381,258,9151.381732,433989.9902,2.071854677,209469320,Brazil,Brazil,Brazil,9140,Upper-Middle Income
Americas,Canada,CAN,1845,686614,38138012,133,46548.63841,580090.0269,15.65057904,37065084,Canada,Canada,Canada,45080,High-Income
Americas,Cayman Islands (the),CYM,2,300,3496580,7,86180.53969,,,64172,Cayman Islands,Cayman Islands,Cayman Islands,59480,High-Income
Americas,Chile,CHL,9147,12399624,39927770,108,15772.33348,86610.00061,4.624338351,18729166,Chile,Chile,Chile,14580,High-Income
Americas,Colombia,COL,32879,18869782,7334469,214,6729.583332,78589.99634,1.582527692,49661056,Colombia,Colombia,Colombia,6270,Upper-Middle Income
Americas,Costa Rica,CRI,548,2276061,1387090,73,12485.4239,8369.999886,1.674186481,4999443,Costa Rica,Costa Rica,Costa Rica,11970,Upper-Middle Income
Americas,Cuba,CUB,2039,24197379,14863697,82,8824.194008,26709.99908,2.355764257,11338146,Cuba,Cuba,Cuba,8630,Upper-Middle Income
Americas,Dominica,DMA,140,196383,2223060,14,7745.376963,170.0000018,2.373439837,71626,Dominica,Dominica,Dominica,7800,Upper-Middle Income
Americas,Dominican Republic (the),DOM,3787,7594867,3119635,83,8050.644076,25309.99947,2.381636338,10627147,Dominican Republic,Dominican Republic,Dominican Republic,7780,Upper-Middle Income
Americas,Ecuador,ECU,8844,5405328,5819245,110,6295.934662,40139.99939,2.349517438,17084359,Ecuador,Ecuador,Ecuador,6090,Upper-Middle Income
Americas,El Salvador,SLV,5716,5083854,6974810,71,4052.624775,6809.999943,1.060625402,6420740,El Salvador,El Salvador,El Salvador,3820,Lower-Middle Income
