country,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Guinea-Bissau,Drought,7957,0,132000,0,4
Guinea-Bissau,Epidemic,15990,3032,105380,0,8
Guinea-Bissau,Flood,8025,5,58542,0,4
Guinea-Bissau,Insect infestation,5951,0,0,0,3
Guinea-Bissau,Storm,5998,4,16966,0,3
Guinea-Bissau,Wildfire,1998,3,1500,0,1
Guyana,Drought,5995,0,607200,43700,3
Guyana,Flood,20050,34,706048,634300,10
Haiti,Drought,17917,0,6905217,87000,9
Haiti,Earthquake,10023,225170,4443116,9640071,5
Haiti,Epidemic,16045,7168,588177,0,8
Haiti,Flood,128151,4074,958349,3959,64
Haiti,Landslide,3943,262,1060,0,2
Haiti,Storm,88076,12025,7237690,3286906,44
Honduras,Drought,23988,0,1917335,17000,12
Honduras,Earthquake,5998,7,52519,100000,3
Honduras,Epidemic,19978,266,167265,0,10
Honduras,Flood,76032,962,1815300,393700,38
Honduras,Landslide,1973,2800,0,0,1
Honduras,Mass movement (dry),1989,10,0,0,1
Honduras,Storm,49957,23254,8127956,4673179,25
Honduras,Wildfire,4021,0,2503,0,2
Hong Kong,Drought,13822,0,0,0,7
Hong Kong,Epidemic,2002,299,1456,0,1
Hong Kong,Extreme temperature,1987,10,7,0,1
Hong Kong,Flood,47495,312,57563,105000,24
Hong Kong,Landslide,11860,212,4287,790,6
Hong Kong,Storm,119129,644,74775,1210153,60
Hong Kong,Wildfire,7892,0,9000,0,4
Hungary,Drought,5981,0,0,984000,3
Hungary,Earthquake,2013,0,1800,0,1
Hungary,Extreme temperature,12051,841,500,0,6
Hungary,Flood,32037,310,238865,966400,16
Hungary,Storm,16046,60,165598,10000,8
Iceland,Earthquake,5976,1,205,24000,3
Iceland,Flood,1988,0,280,0,1
Iceland,Landslide,7947,50,83,5789,4
Iceland,Volcanic activity,9946,0,5200,41200,5
India,Drought,27846,1500320,1400041000,6541122,14
India,Earthquake,51813,51618,28568813,5316700,26
India,Epidemic,129608,20995,422791,0,65
India,Extreme temperature,121805,18000,700,544000,61
India,Flood,629408,79066,899438665,87944168,315
India,Glacial lake outburst,4042,250,24,210000,2
India,Insect infestation,1993,0,0,0,1
India,Landslide,105880,4761,4004284,54500,53
India,Mass movement (dry),4001,61,0,0,2
India,Storm,379151,58095,148554825,44690996,190
India,Wildfire,8017,30,0,2000,4
Indonesia,Drought,19870,9340,4804220,160200,10
Indonesia,Earthquake,255861,186921,12298166,14239556,128
Indonesia,Epidemic,67765,3926,689029,0,34
Indonesia,Flood,515331,7386,13633328,8191347,257
Indonesia,Landslide,128255,2720,507276,158745,64
Indonesia,Mass movement (dry),1987,131,701,1000,1
Indonesia,Storm,27873,2250,541908,801000,14
Indonesia,Volcanic activity,117664,5646,1585632,800390,59
Indonesia,Wildfire,22026,319,3444142,10329000,11
Iran (Islamic Republic of),Drought,5984,0,42525000,3300000,3
Iran (Islamic Republic of),Earthquake,229236,137262,3034357,13048628,115
Iran (Islamic Republic of),Epidemic,5943,372,2500,0,3
Iran (Islamic Republic of),Extreme temperature,1953,158,0,0,1
Iran (Islamic Republic of),Flood,189732,8163,14470701,14029528,95
Iran (Islamic Republic of),Insect infestation,2020,0,0,0,1
Iran (Islamic Republic of),Landslide,9981,128,144,0,5
Iran (Islamic Republic of),Storm,29982,364,209516,28540,15
Iran (Islamic Republic of),Wildfire,2002,0,0,0,1
Iraq,Drought,5988,0,7500000,2000,3
Iraq,Earthquake,4008,30,6469,0,2
Iraq,Epidemic,14012,38,8041,0,7
Iraq,Flood,34072,160,591579,173300,17
Iraq,Storm,2022,1,5000,0,1
Ireland,Epidemic,4002,2,1375,0,2
Ireland,Flood,12019,5,4700,363000,6
Ireland,Storm,34021,41,200,315050,17
Isle of Man,Storm,2020,0,0,0,1
Israel,Drought,1999,0,0,75000,1
Israel,Epidemic,2000,12,139,0,1
Israel,Extreme temperature,3992,0,0,550000,2
Israel,Flood,10043,36,1000,620000,5
Israel,Landslide,1970,20,13,0,1
Israel,Storm,8019,12,2003610,2750,4
Israel,Wildfire,10024,44,80420,835000,5
Italy,Drought,10050,0,0,4290000,5
Italy,Earthquake,71653,6642,956797,54852352,36
Italy,Epidemic,4004,3,10001,0,2
Italy,Extreme temperature,22110,20173,0,4532601,11
Italy,Flood,103962,1107,2882699,25541600,52
Italy,Glacial lake outburst,2022,12,0,0,1
Italy,Landslide,27821,2466,19779,1359210,14
Italy,Storm,60017,240,11015,5878400,30
Italy,Volcanic activity,7989,9,7352,118100,4
Italy,Wildfire,15993,21,11920,1759000,8
Jamaica,Drought,7963,0,191545,6500,4
Jamaica,Epidemic,5973,3,580,0,3
Jamaica,Flood,17911,141,901712,168440,9
Jamaica,Storm,47943,298,1611585,2661182,24
Japan,Drought,1977,0,0,0,1
Japan,Earthquake,103785,26155,1654458,399616400,52
Japan,Epidemic,5952,1,2000534,0,3
Japan,Extreme temperature,34231,1075,214514,0,17
Japan,Flood,111455,8223,9425031,30474300,56
Japan,Landslide,43718,910,26673,498000,22
Japan,Storm,352575,16325,6129970,110167800,177
Japan,Volcanic activity,19888,139,100048,32000,10
Japan,Wildfire,2002,0,222,0,1
Jordan,Drought,3999,0,330000,0,2
Jordan,Epidemic,1981,4,715,0,1
Jordan,Extreme temperature,3992,15,12,400000,2
Jordan,Flood,15905,345,24385,3400,8
Jordan,Insect infestation,1989,0,0,0,1
Jordan,Storm,5993,16,225,0,3
Kazakhstan,Drought,2021,0,71000,0,1
Kazakhstan,Earthquake,2003,3,36626,0,1
Kazakhstan,Epidemic,5997,7,873,0,3
Kazakhstan,Extreme temperature,6010,3,605012,0,3
Kazakhstan,Flood,28134,64,184547,282570,14
Kazakhstan,Landslide,2004,48,0,0,1
Kazakhstan,Storm,1995,112,0,3000,1
Kazakhstan,Wildfire,1997,0,8000,0,1
Kenya,Drought,33986,196,58800000,251500,17
Kenya,Earthquake,3994,1,0,100000,2
Kenya,Epidemic,74164,4958,8245975,0,37
Kenya,Flood,116321,2048,4808104,518388,58
Kenya,Insect infestation,2019,0,0,0,1
Kenya,Landslide,10046,153,146,0,5
Kenya,Storm,1988,50,0,0,1
Kiribati,Drought,1999,0,84000,0,1
Kiribati,Epidemic,1977,17,352,0,1
Kiribati,Flood,4022,0,305,0,2
Kiribati,Storm,3987,3,2200,0,2
Korea (the Democratic People's Republic of),Drought,8063,0,31100000,0,4
Korea (the Democratic People's Republic of),Epidemic,6019,4,129774,0,3
Korea (the Democratic People's Republic of),Extreme temperature,2018,0,13768,0,1
Korea (the Democratic People's Republic of),Flood,58163,2778,13686931,17628800,29
Korea (the Democratic People's Republic of),Storm,20069,235,6029690,6139150,10
Korea (the Republic of),Drought,3968,0,2800000,0,2
Korea (the Republic of),Earthquake,4033,0,34889,21000,2
Korea (the Republic of),Epidemic,9984,179,41607,0,5
Korea (the Republic of),Extreme temperature,8046,48,355,127000,4
Korea (the Republic of),Flood,79652,4108,3288381,3382879,40
Korea (the Republic of),Landslide,17848,405,7714,248700,9
Korea (the Republic of),Storm,121766,3297,810914,14749678,61
